skill
Python
SQL
Machine Learning
Deep Learning
Pandas
NumPy
Scikit-learn
TensorFlow
PyTorch
NLP
Natural Language Processing
FastAPI
React
Docker
Kubernetes
Azure
AWS
Git
GitHub
PostgreSQL
MLflow
Power BI
Tableau
Streamlit
Data Engineering
Data Science
Computer Vision
R
Java
JavaScript
TypeScript
HTML
CSS
API
REST API
Flask
Django
Linux
MongoDB
MySQL
Excel
Statistics
Regression
Classification
Clustering
Time Series
LLM
RAG
OpenAI
LangChain
